fault_node,node,ua,ua_angle,ub,ub_angle,uc,uc_angle,ia,ia_angle,ib,ib_angle,ic,ic_angle
8,0,6667.6185,-0.0007,6668.3956,-2.0944,6668.3956,2.0944,319.5442,-0.4714,20.3762,-0.4714,34.3353,-0.4714
8,1,6634.5494,-0.0032,6666.2869,-2.0936,6664.8423,2.0937,72.6276,3.1088,65.3779,-0.5915,27.4897,2.6615
8,2,6551.2979,-0.0095,6633.6307,-2.09,6660.6161,2.0877,6.5942,-2.4285,2.4851,-1.963,3.3519,2.7046
8,3,6509.9641,-0.0129,6617.1959,-2.0883,6659.2182,2.0847,0.3674,2.6761,0.1702,-0.4758,0.1954,2.6709
8,4,6467.0817,-0.0165,6600.0101,-2.0865,6657.8462,2.0815,28.3591,-2.8489,13.9504,-1.4704,13.9243,2.4845
8,5,6378.1879,-0.0291,6546.8323,-2.0836,6669.5182,2.0732,68.9789,2.7411,31.175,-2.4832,33.5566,1.7025
8,6,6356.2518,-0.0414,6511.0607,-2.0851,6696.5954,2.0695,100.7302,-0.04,46.3017,1.039,49.2533,-1.0884
8,7,6269.077,-0.0468,6479.8904,-2.0805,6688.1345,2.0632,30.0344,-2.5155,13.7005,-1.3372,15.3967,2.7758
8,8,6091.4303,-0.0685,6389.5376,-2.073,6697.5202,2.0479,223.5342,2.4964,112.9078,2.4962,10.2694,-0.6443
8,9,6156.9296,-0.0611,6421.8399,-2.076,6695.6372,2.0535,20.9345,-2.6625,12.632,-0.9447,10.413,2.7809
8,10,6170.0883,-0.0603,6424.7169,-2.0767,6697.5002,2.0542,2.4537,-0.3184,3.2565,2.8221,0.7496,-0.3189
8,11,6194.1801,-0.059,6431.48,-2.078,6700.7525,2.0558,29.3342,0.4556,15.1583,1.8348,14.3541,-0.5071
8,12,6189.463,-0.0581,6433.959,-2.0775,6697.0042,2.0558,1.2952,-1.4342,0.3351,0.7256,0.5101,-2.3525
8,13,6186.2646,-0.0578,6435.1317,-2.0773,6695.202,2.0559,0.7861,1.348,0.5451,2.8955,0.4153,0.4771
8,14,6183.7917,-0.0576,6436.5309,-2.0771,6693.5215,2.056,7.0348,-3.0352,3.9603,-1.3912,3.5176,2.3905
8,15,6215.5466,-0.0543,6450.6766,-2.0786,6693.504,2.0585,11.9543,0.0726,5.8616,1.343,5.8493,-0.9289
8,16,6272.3172,-0.044,6490.2686,-2.0802,6680.8879,2.0643,1.9662,0.1476,1.5375,-0.0488,1.0007,-1.4044
8,17,6289.7775,-0.0404,6502.22,-2.0805,6676.2557,2.066,8.4516,3.0387,3.7276,-2.1501,4.0998,2.004
8,18,6622.3264,-0.0046,6663.1804,-2.0933,6664.936,2.0932,15.3433,2.2059,19.4871,-0.6932,2.8569,2.4165
8,19,6434.4988,-0.0246,6568.2838,-2.0861,6672.3935,2.0773,12.8758,-2.8103,6.5687,-2.834,6.4076,2.2045
8,20,6379.5534,-0.0326,6540.6291,-2.0846,6678.7174,2.073,5.1931,2.1992,4.9828,-0.8631,1.3435,2.1073
8,21,6328.7704,-0.0411,6508.2663,-2.0833,6688.191,2.0682,7.6248,0.1074,3.7867,0.8195,3.7128,-1.0884
8,22,6538.2522,-0.0107,6628.3391,-2.0895,6660.3722,2.0867,4.507,-2.9915,2.7817,-1.1688,2.1733,2.5015
8,23,6487.2753,-0.0159,6603.4399,-2.0875,6661.839,2.0825,0.1986,1.0203,0.1283,1.6278,0.0146,-1.0627
8,24,6436.6148,-0.0212,6578.7791,-2.0855,6663.2821,2.0783,6.1659,-2.8619,2.693,-2.1321,3.0537,2.3059
8,25,6379.6136,-0.029,6547.2767,-2.0836,6669.5751,2.0733,0.3365,-0.4772,0.4311,2.6722,0.0928,-0.4718
8,26,6383.4979,-0.0286,6548.6584,-2.0838,6669.7048,2.0736,3.7345,0.2252,2.0023,1.85,1.7853,-0.6658
8,27,6397.0756,-0.0266,6556.9639,-2.0842,6667.7444,2.0749,0.1426,2.8371,0.0971,-1.085,0.062,2.2915
8,28,6407.4721,-0.0251,6563.1416,-2.0845,6666.329,2.0758,13.508,0.4043,6.0825,1.5677,6.5055,-0.6269
8,29,6385.6048,-0.0265,6555.9258,-2.0835,6664.2695,2.0744,12.8155,-2.7793,6.368,-1.4279,6.2932,2.5374
8,30,6342.7897,-0.032,6532.4345,-2.0819,6668.0387,2.0706,2.6873,-2.7349,1.7732,-3.0862,1.2794,2.1024
8,31,6328.319,-0.0342,6524.7997,-2.0815,6669.9467,2.0694,6.2077,2.9057,2.737,-1.9866,2.9359,1.9422
8,32,6312.0672,-0.0375,6513.7634,-2.0813,6674.2937,2.0678,8.5944,-0.0826,3.8245,0.9504,4.1761,-1.1492
