fault_node,node,ua,ua_angle,ub,ub_angle,uc,uc_angle,ia,ia_angle,ib,ib_angle,ic,ic_angle
29,0,6666.8625,-0.0006,6668.3956,-2.0944,6668.3956,2.0944,167.6165,-1.448,19.1703,-1.448,49.9472,1.6936
29,1,6450.6539,-0.0648,6643.6678,-2.1034,6732.8225,2.0956,51.0175,-0.5076,70.7733,1.7574,87.3781,-1.3678
29,2,6329.9765,-0.0987,6653.9143,-2.1008,6712.6704,2.0957,21.8553,2.9759,5.3935,1.349,31.8384,2.0069
29,3,6285.4812,-0.1079,6656.5086,-2.1028,6723.0711,2.097,35.7706,2.1025,4.7417,1.5486,17.1945,-1.2416
29,4,6261.4755,-0.1276,6667.422,-2.1024,6715.4936,2.0982,17.495,-1.1203,9.7038,-1.3917,14.509,1.8154
29,5,6211.0216,-0.1443,6664.2171,-2.1046,6729.3704,2.0988,19.6048,2.1111,37.4797,1.7201,34.628,-1.4027
29,6,6229.6757,-0.1398,6659.1243,-2.1054,6736.8822,2.0986,2.7981,-3.1038,15.7228,-1.0055,14.9622,2.1597
29,7,6240.8428,-0.1355,6644.5831,-2.1068,6752.1616,2.0974,10.2357,-0.1396,10.0763,2.5467,16.0825,-1.0235
29,8,6207.2843,-0.1451,6641.3421,-2.1088,6765.4098,2.0979,8.4407,2.0772,5.5138,-1.408,3.4336,1.5359
29,9,6213.1306,-0.1427,6639.1441,-2.109,6767.1609,2.0977,1.1149,2.1063,4.5193,1.8541,4.3172,-1.284
29,10,6223.9383,-0.1401,6641.9421,-2.1086,6763.9332,2.0979,1.4071,-0.4398,3.4218,-1.3288,1.7246,1.9278
29,11,6231.4619,-0.1373,6640.3877,-2.1084,6763.2753,2.0976,10.5383,-0.5021,6.3531,1.7075,6.383,-1.7998
29,12,6208.8979,-0.1402,6639.4854,-2.1096,6770.5083,2.098,19.4373,2.2516,0.8836,-2.0048,5.6897,-0.8237
29,13,6201.8997,-0.1457,6637.3864,-2.1099,6773.615,2.0979,3.3436,-1.0682,1.7407,1.6647,2.5442,-1.4787
29,14,6190.2581,-0.1517,6637.5416,-2.1099,6773.4294,2.0979,33.546,-1.4494,32.1321,1.7167,8.2782,1.7183
29,15,6141.8375,-0.1644,6656.8719,-2.114,6787.7819,2.1024,27.4205,-0.8724,12.7152,2.212,3.288,3.1263
29,16,6093.4964,-0.1741,6677.1718,-2.1174,6798.6874,2.1066,35.303,0.6019,15.7405,-2.7984,34.6739,-1.1025
29,17,6029.2547,-0.1873,6707.1099,-2.118,6787.9105,2.1108,33.1287,2.9692,17.6372,-0.3533,17.7987,2.2113
29,18,6418.0871,-0.0757,6662.9881,-2.1038,6725.4088,2.0983,17.5584,1.392,37.3533,-1.428,8.9547,1.6412
29,19,6343.5144,-0.1011,6667.5095,-2.1025,6715.863,2.0983,11.7289,2.2188,26.4528,-1.4031,27.0131,1.7521
29,20,6284.6021,-0.1211,6634.259,-2.1047,6744.9403,2.095,16.4096,-1.6522,43.2768,1.6949,13.4292,-1.381
29,21,6260.2103,-0.1308,6647.7655,-2.106,6745.9742,2.0974,3.4122,-0.6475,17.0207,-1.4446,12.8045,1.778
29,22,6293.9984,-0.1133,6660.3444,-2.1011,6711.255,2.0967,39.3137,-1.0461,21.7603,1.939,1.5292,1.6323
29,23,6167.9986,-0.1488,6699.642,-2.1041,6709.6782,2.1032,55.3071,2.0498,7.5784,-0.5213,9.8844,-1.4766
29,24,6111.4261,-0.1822,6728.5932,-2.1046,6698.7214,2.1073,65.2326,-1.0574,8.4856,2.7117,25.3188,1.8062
29,25,6194.7069,-0.1569,6686.321,-2.1034,6711.8817,2.1012,31.7532,-1.3069,28.7146,-1.4311,50.2364,1.7514
29,26,6135.4167,-0.1721,6696.488,-2.1075,6730.8351,2.1044,8.3452,1.1205,28.7431,1.9144,35.4098,-1.3133
29,27,6074.7997,-0.1957,6740.1806,-2.108,6712.8154,2.1104,31.8709,-0.366,20.085,-1.6048,12.7071,1.7888
29,28,6015.0649,-0.2078,6756.4164,-2.1088,6710.0321,2.1129,78.3018,2.4254,84.4365,-1.2103,65.4457,1.7715
29,29,5846.8663,-0.2588,6717.9966,-2.1225,6809.5595,2.1142,161.3056,1.7963,38.5565,1.8,85.9423,-1.3546
29,30,5891.3251,-0.2391,6730.491,-2.1212,6796.2542,2.1153,12.5325,-1.0924,2.1369,1.317,2.5619,2.1818
29,31,5922.5118,-0.2168,6747.3734,-2.1206,6784.9971,2.1172,44.9213,2.2731,31.9676,-1.1382,14.9913,1.9539
29,32,5969.6301,-0.2039,6731.549,-2.1204,6790.8171,2.115,11.8411,0.6606,7.1285,-1.7649,11.0344,-1.0738
